电影中文名,电影外文名,评分,评分人数,导演,主演,类型,制片国家/地区,年份
不一样的天空,What's Eating Gilbert Grape,8.6,151951,大卫·芬奇,辰己努 / 白石绫乃 / 志乃原良子,动画 / 剧情 / 战争,日本,1988
疯狂约会美丽都,Les triplettes de Belleville,8.7,97010,大卫·芬奇,布拉德·皮特 / 凯特·布兰切特 / 朱莉娅·奥蒙德,剧情 / 爱情 / 奇幻,日本,1988
梦之安魂曲,Requiem for a Dream,8.8,222392,大卫·芬奇,布拉德·皮特 / 凯特·布兰切特 / 朱莉娅·奥蒙德,剧情 / 爱情 / 奇幻,美国,2008
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,8.9,820059,姜炯哲,沈恩敬 / 闵孝琳 / 姜素拉,剧情 / 爱情 / 奇幻,美国,2008
买凶拍人,買兇拍人,8.2,158079,姜炯哲,沈恩敬 / 闵孝琳 / 姜素拉,剧情 / 喜剧,韩国,2008
幽灵公主,もののけ姫,8.9,675012,史蒂文·斯皮尔伯格,沈恩敬 / 闵孝琳 / 姜素拉,剧情 / 喜剧,韩国,2011
爱·回家,집으로...,9.0,98826,史蒂文·斯皮尔伯格,汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯,剧情 / 战争,韩国,2011
我们俩,,8.8,130651,史蒂文·斯皮尔伯格,汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯,剧情 / 战争,美国,1998
无耻混蛋,Inglourious Basterds,8.7,569707,丹尼·博伊尔,伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒,剧情 / 战争,美国,1998
傲慢与偏见,Pride & Prejudice,8.7,948376,丹尼·博伊尔,伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒,剧情 / 犯罪,英国,1998
夜访吸血鬼,Interview with the Vampire: The Vampire Chronicles,8.3,303987,柯克·德·米科 / 克里斯·桑德斯,伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒,剧情 / 犯罪,英国,1996
她比烟花寂寞,Hilary and Jackie,8.2,126943,柯克·德·米科 / 克里斯·桑德斯,尼古拉斯·凯奇 / 艾玛·斯通 / 瑞安·雷诺兹,喜剧 / 动画 / 冒险,英国,1996
黄金三镖客,"Il buono, il brutto, il cattivo",9.3,144043,柯克·德·米科 / 克里斯·桑德斯,尼古拉斯·凯奇 / 艾玛·斯通 / 瑞安·雷诺兹,喜剧 / 动画 / 冒险,美国,2013
国王的演讲,The King's Speech,8.5,645861,中岛哲也,松隆子 / 冈田将生 / 木村佳乃,喜剧 / 动画 / 冒险,美国,2013
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.8,975531,中岛哲也,松隆子 / 冈田将生 / 木村佳乃,剧情 / 悬疑,日本,2013
第六感,The Sixth Sense,8.9,644252,格斯·范·桑特,松隆子 / 冈田将生 / 木村佳乃,剧情 / 悬疑,日本,2010
家园,Home,9.2,52657,格斯·范·桑特,马特·达蒙 / 罗宾·威廉姆斯 / 本·阿弗莱克,剧情,日本,2010
蓝白红三部曲之红,Trois couleurs: Rouge,8.8,143257,格斯·范·桑特,马特·达蒙 / 罗宾·威廉姆斯 / 本·阿弗莱克,剧情,美国,1997
攻壳机动队,攻殻機動隊,9.0,222104,杨德昌,吴念真 / 李凯莉 / 金燕玲,剧情,美国,1997
茜茜公主,Sissi,8.5,121722,杨德昌,吴念真 / 李凯莉 / 金燕玲,剧情 / 爱情 / 家庭,中国台湾/日本,1997
出租车司机,Taxi Driver,8.6,259544,朱塞佩·托纳多雷,吴念真 / 李凯莉 / 金燕玲,剧情 / 爱情 / 家庭,中国台湾/日本,2000
我爱你,그대를 사랑합니다,9.0,176351,朱塞佩·托纳多雷,莫妮卡·贝鲁奇 / 朱塞佩·苏尔法罗 / Luciano Federico,剧情 / 战争 / 情色,中国台湾/日本,2000
速度与激情5,Fast Five,8.5,395672,朱塞佩·托纳多雷,莫妮卡·贝鲁奇 / 朱塞佩·苏尔法罗 / Luciano Federico,剧情 / 战争 / 情色,意大利/美国,2000
对她说,Hable con ella,8.4,95627,理查德·柯蒂斯,休·格兰特 / 连姆·尼森 / 科林·费尔斯,剧情 / 战争 / 情色,意大利/美国,2000
歌剧魅影,The Phantom of the Opera,8.5,175350,理查德·柯蒂斯,休·格兰特 / 连姆·尼森 / 科林·费尔斯,喜剧 / 剧情 / 爱情,英国/美国/法国,2000
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,8.5,1057953,北野武,休·格兰特 / 连姆·尼森 / 科林·费尔斯,喜剧 / 剧情 / 爱情,英国/美国/法国,2003
遗愿清单,The Bucket List,8.7,546032,北野武,北野武 / 关口雄介 / 岸本加世子,剧情 / 喜剧,英国/美国/法国,2003
布达佩斯之恋,Gloomy Sunday - Ein Lied von Liebe und Tod,8.6,88841,北野武,北野武 / 关口雄介 / 岸本加世子,剧情 / 喜剧,日本,1999
开心家族,헬로우 고스트,8.6,212662,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特,剧情 / 喜剧,日本,1999
伴我同行,Stand by Me,8.9,129338,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特,剧情 / 爱情,美国/奥地利/瑞士,1999
城市之光,City Lights,9.3,175191,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 安德莉亚·埃克特,剧情 / 爱情,美国/奥地利/瑞士,1995
忠犬八公物语,ハチ公物語,9.2,220783,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫,剧情 / 爱情,美国/奥地利/瑞士,1995
桃姐,,8.4,331056,理查德·林克莱特,伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫,剧情 / 爱情,美国/法国,2004
蓝白红三部曲之蓝,Trois couleurs: Bleu,8.5,163175,陈可辛,黎明 / 张曼玉 / 杨恭如,剧情 / 爱情,美国/法国,2004
刺猬的优雅,Le hérisson,8.8,174916,陈可辛,黎明 / 张曼玉 / 杨恭如,剧情 / 爱情,中国香港,2004
寿司之神,Jiro Dreams of Sushi,8.6,130028,爱德华·兹威克,黎明 / 张曼玉 / 杨恭如,剧情 / 爱情,中国香港,1996
相助,The Help,8.9,149715,爱德华·兹威克,布拉德·皮特 / 安东尼·霍普金斯 / 艾丹·奎因,剧情 / 爱情 / 战争 / 西部,中国香港,1996
赛德克·巴莱,賽德克·巴萊,8.8,205105,爱德华·兹威克,布拉德·皮特 / 安东尼·霍普金斯 / 艾丹·奎因,剧情 / 爱情 / 战争 / 西部,美国,1994
2001太空漫游,2001: A Space Odyssey,8.9,401998,热拉尔·乌里,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克,剧情 / 爱情 / 战争 / 西部,美国,1994
美国X档案,American History X,8.4,109042,热拉尔·乌里,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克,喜剧 / 战争,法国/英国,1994
自闭历程,Temple Grandin,8.9,74404,王家卫,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克,喜剧 / 战争,法国/英国,1966
上帝也疯狂2,The Gods Must Be Crazy II,8.8,61405,王家卫,张国荣 / 梁朝伟 / 张震,剧情 / 爱情 / 同性,法国/英国,1966
未麻的部屋,Perfect Blue,9.1,430305,王家卫,张国荣 / 梁朝伟 / 张震,剧情 / 爱情 / 同性,中国香港/日本/韩国,1997
天水围的日与夜,天水圍的日與夜,8.7,134105,李安,郎雄 / 杨贵媚 / 吴倩莲,剧情 / 爱情 / 同性,中国香港/日本/韩国,1997
枪火,鎗火,8.8,267373,李安,郎雄 / 杨贵媚 / 吴倩莲,剧情 / 家庭,中国台湾/美国,1997
精英部队2：大敌当前,Tropa de Elite 2 - O Inimigo Agora É Outro,8.7,94724,黄东赫,郎雄 / 杨贵媚 / 吴倩莲,剧情 / 家庭,中国台湾/美国,1994
青蛇,,8.6,606095,黄东赫,孔刘 / 郑裕美 / 金贤秀,剧情,中国台湾/美国,1994
狩猎,Jagten,9.1,475170,黄东赫,孔刘 / 郑裕美 / 金贤秀,剧情,韩国,2011
追随,Following,8.9,205565,理查德·柯蒂斯,比尔·奈伊 / 肯尼思·布拉纳 / 菲利普·塞默·霍夫曼,剧情,韩国,2011
时时刻刻,The Hours,8.7,217366,理查德·柯蒂斯,比尔·奈伊 / 肯尼思·布拉纳 / 菲利普·塞默·霍夫曼,剧情 / 喜剧 / 音乐,英国/德国/法国,2011
风之谷,風の谷のナウシカ,8.9,396550,细田守,比尔·奈伊 / 肯尼思·布拉纳 / 菲利普·塞默·霍夫曼,剧情 / 喜剧 / 音乐,英国/德国/法国,2009
角斗士,Gladiator,8.6,263158,细田守,仲里依纱 / 石田卓也 / 板仓光隆,剧情 / 爱情 / 科幻 / 动画,英国/德国/法国,2009
导盲犬小Q,クイール,8.5,140608,细田守,仲里依纱 / 石田卓也 / 板仓光隆,剧情 / 爱情 / 科幻 / 动画,日本,2006
花样年华,花樣年華,8.8,813895,丹尼·博伊尔 / 洛芙琳·坦丹,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普尔,剧情 / 爱情 / 科幻 / 动画,日本,2006
老男孩,올드보이,8.2,336101,丹尼·博伊尔 / 洛芙琳·坦丹,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普尔,剧情 / 爱情,英国,2006
迷墙,Pink Floyd The Wall,8.7,53108,迈克尔·斯派瑞 / 彼得·斯派瑞,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普尔,剧情 / 爱情,英国,2008
惊魂记,Psycho,9.0,360839,迈克尔·斯派瑞 / 彼得·斯派瑞,马特·帕斯摩尔 / 托宾·贝尔 / 考乐姆·吉斯·雷尼,悬疑 / 惊悚 / 恐怖,英国,2008
黑客帝国3：矩阵革命,The Matrix Revolutions,8.8,501445,迈克尔·斯派瑞 / 彼得·斯派瑞,马特·帕斯摩尔 / 托宾·贝尔 / 考乐姆·吉斯·雷尼,悬疑 / 惊悚 / 恐怖,美国/加拿大,2017
第九区,District 9,8.4,510934,新海诚,水桥研二 / 近藤好美 / 花村怜美,悬疑 / 惊悚 / 恐怖,美国/加拿大,2017
血钻,Blood Diamond,8.7,425343,新海诚,水桥研二 / 近藤好美 / 花村怜美,动画 / 剧情 / 爱情,日本,2017
荒岛余生,Cast Away,8.6,301690,王家卫,水桥研二 / 近藤好美 / 花村怜美,动画 / 剧情 / 爱情,日本,2007
河童之夏,河童のクゥと夏休み,8.7,85367,王家卫,张国荣 / 林青霞 / 梁朝伟,剧情 / 动作 / 爱情 / 武侠 / 古装,日本,2007
恶童,鉄コン筋クリート,8.5,71601,王家卫,张国荣 / 林青霞 / 梁朝伟,剧情 / 动作 / 爱情 / 武侠 / 古装,中国香港/中国台湾,1994
与狼共舞,Dances with Wolves,8.9,90493,吕克·贝松,让-马克·巴尔 / 让·雷诺 / 罗姗娜·阿奎特,剧情 / 动作 / 爱情 / 武侠 / 古装,中国香港/中国台湾,1994
魔术师,L'Illusionniste,8.6,87947,吕克·贝松,让-马克·巴尔 / 让·雷诺 / 罗姗娜·阿奎特,剧情 / 爱情,法国/意大利,1994
罗拉快跑,Lola rennt,8.1,273110,巴瑞·莱文森,让-马克·巴尔 / 让·雷诺 / 罗姗娜·阿奎特,剧情 / 爱情,法国/意大利,1988
岁月的童话,おもひでぽろぽろ,8.6,157695,巴瑞·莱文森,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺,剧情,法国/意大利,1988
社交网络,The Social Network,8.2,504923,巴瑞·莱文森,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺,剧情,美国,1988
无敌破坏王,Wreck-It Ralph,8.7,617287,米林宏昌,志田未来 / 神木隆之介 / 树木希林,剧情,美国,1988
老爷车,Gran Torino,8.6,109596,米林宏昌,志田未来 / 神木隆之介 / 树木希林,动画 / 奇幻 / 冒险,日本,1988
八月迷情,August Rush,8.3,164310,达伦·阿伦诺夫斯基,志田未来 / 神木隆之介 / 树木希林,动画 / 奇幻 / 冒险,日本,2010
暗战,暗戰,8.6,281108,达伦·阿伦诺夫斯基,娜塔莉·波特曼 / 米拉·库尼斯 / 文森特·卡索,剧情 / 惊悚,日本,2010
我们天上见,,8.7,85446,达伦·阿伦诺夫斯基,娜塔莉·波特曼 / 米拉·库尼斯 / 文森特·卡索,剧情 / 惊悚,美国,2010
千年女优,千年女優,8.8,321820,保罗·哈吉斯,桑德拉·布洛克 / 唐·钱德尔 / 马特·狄龙,剧情 / 惊悚,美国,2010
钢的琴,,8.5,416551,保罗·哈吉斯,桑德拉·布洛克 / 唐·钱德尔 / 马特·狄龙,犯罪 / 剧情,美国/德国/澳大利亚,2010
