电影中文名,电影外文名,评分,评分人数,导演,主演,类型,制片国家/地区,年份
大鱼,Big Fish,8.8,631300,盖·里奇,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮,剧情 / 喜剧 / 爱情,美国,2010
沉默的羔羊,The Silence of the Lambs,8.9,1022183,盖·里奇,杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰,剧情 / 喜剧 / 犯罪,美国,2010
美国往事,Once Upon a Time in America,9.1,475372,盖·里奇,杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰,剧情 / 喜剧 / 犯罪,英国,1998
哈尔的移动城堡,ハウルの動く城,9.1,1299312,米洛斯·福尔曼,杰克·尼科尔森 / 路易丝·弗莱彻 / 威廉·雷德菲尔德,剧情 / 喜剧 / 犯罪,英国,1998
岁月神偷,歲月神偷,8.7,615747,米洛斯·福尔曼,杰克·尼科尔森 / 路易丝·弗莱彻 / 威廉·雷德菲尔德,剧情,美国,1998
射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,723153,李安,杰克·尼科尔森 / 路易丝·弗莱彻 / 威廉·雷德菲尔德,剧情,美国,1975
玛丽和麦克斯,Mary and Max,9.0,474519,李安,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波,剧情 / 奇幻 / 冒险,美国,1975
黑客帝国,The Matrix,9.1,955785,李安,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波,剧情 / 奇幻 / 冒险,美国/中国台湾/英国/加拿大,2012
小鞋子,بچه های آسمان,9.2,470181,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森,剧情 / 奇幻 / 冒险,美国/中国台湾/英国/加拿大,2012
上帝之城,Cidade de Deus,9.0,336126,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森,剧情 / 动作 / 奇幻 / 冒险,美国/新西兰,2012
重庆森林,重慶森林,8.8,929605,姜文,伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森,剧情 / 动作 / 奇幻 / 冒险,美国/新西兰,2003
萤火虫之墓,火垂るの墓,8.7,439301,姜文,姜文 / 葛优 / 周润发,剧情 / 喜剧 / 动作 / 西部,美国/新西兰,2003
