中文电影名,外文电影名,电影评分,评分人数,电影简介,电影详情
致命魔术,The Prestige,8.9,719024,孪生蝙蝠侠大战克隆金刚狼。,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 休·杰克曼 Hugh Jackman... 2006 英国 美国 剧情 悬疑 惊悚
美国往事,Once Upon a Time in America,9.2,345442,往事如烟，无处祭奠。,导演: 赛尔乔·莱翁内 Sergio Leone主演: 罗伯特·德尼罗 Robert De Niro ... 1984 美国 意大利 犯罪 剧情
沉默的羔羊,The Silence of the Lambs,8.9,719826,安东尼·霍普金斯的顶级表演。,导演: 乔纳森·戴米 Jonathan Demme主演: 朱迪·福斯特 Jodie Foster   安... 1991 美国 剧情 犯罪 惊悚
禁闭岛,Shutter Island,8.8,795187,昔日翩翩少年，今日大腹便便。,导演: Martin Scorsese主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio   ... 2010 美国 剧情 悬疑 惊悚
蝴蝶效应,The Butterfly Effect,8.8,779393,人的命运被自己瞬间的抉择改变。,导演: 埃里克·布雷斯 Eric Bress   J·麦基·格鲁伯 J. Mackye Gruber主... 2004 美国 加拿大 剧情 悬疑 科幻 惊悚
低俗小说,Pulp Fiction,8.9,693854,故事的高级讲法。,导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 约翰·特拉沃尔塔 John Tra... 1994 美国 剧情 喜剧 犯罪
心灵捕手,Good Will Hunting,8.9,588339,人生中应该拥有这样的一段豁然开朗。,导演: 格斯·范·桑特 Gus Van Sant主演: 马特·达蒙 Matt Damon   罗宾·... 1997 美国 剧情
布达佩斯大饭店,The Grand Budapest Hotel,8.9,745136,小清新的故事里注入了大历史的情怀。,导演: 韦斯·安德森 Wes Anderson主演: 拉尔夫·费因斯 Ralph Fiennes   ... 2014 美国 德国 英国 剧情 喜剧 冒险
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,8.9,653116,10年的完美句点。,导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe... 2011 美国 英国 奇幻 冒险
春光乍泄,春光乍洩,9.0,523333,爱情纠缠，男女一致。,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung   梁朝伟 Tony Leu... 1997 中国香港 日本 韩国 剧情 爱情 同性
七宗罪,Se7en,8.8,806082,警察抓小偷，老鼠玩死猫。,导演: 大卫·芬奇 David Fincher主演: 摩根·弗里曼 Morgan Freeman   布... 1995 美国 剧情 犯罪 悬疑 惊悚
摩登时代,Modern Times,9.3,242683,大时代中的人生，小人物的悲喜。,导演: 查理·卓别林 Charles Chaplin主演: 查理·卓别林 Charles Chaplin ... 1936 美国 剧情 喜剧 爱情
喜剧之王,喜劇之王,8.8,802475,我是一个演员。,导演: 周星驰 Stephen Chow   李力持 Lik-Chi Lee主演: 周星驰 Stephen Ch... 1999 中国香港 喜剧 剧情 爱情
被嫌弃的松子的一生,嫌われ松子の一生,8.9,610146,以戏谑来戏谑戏谑。,导演: 中岛哲也 Tetsuya Nakashima主演: 中谷美纪 Miki Nakatani   瑛太 E... 2006 日本 剧情 歌舞
致命ID,Identity,8.8,670862,最不可能的那个人永远是最可能的。,导演: 詹姆斯·曼高德 James Mangold主演: 约翰·库萨克 John Cusack   雷... 2003 美国 剧情 悬疑 惊悚
杀人回忆,살인의 추억,8.9,568853,关于连环杀人悬案的集体回忆。,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song   金相庆 Sang-kyun... 2003 韩国 剧情 动作 犯罪 悬疑 惊悚
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.8,726589,约翰尼·德普的独角戏。,导演: 戈尔·维宾斯基 Gore Verbinski主演: 约翰尼·德普 Johnny Depp   ... 2003 美国 动作 冒险 奇幻
剪刀手爱德华,Edward Scissorhands,8.7,910010,浪漫忧郁的成人童话。,导演: 蒂姆·波顿 Tim Burton主演: 约翰尼·德普 Johnny Depp   薇诺娜·... 1990 美国 剧情 奇幻 爱情
狩猎,Jagten,9.1,313628,人言可畏。,导演: 托马斯·温特伯格 Thomas Vinterberg主演: 麦斯·米科尔森 Mads Mik... 2012 丹麦 瑞典 剧情
勇敢的心,Braveheart,8.9,496631,史诗大片的典范。,导演: 梅尔·吉布森 Mel Gibson主演: 梅尔·吉布森 Mel Gibson   苏菲·玛... 1995 美国 动作 传记 剧情 历史 战争
请以你的名字呼唤我,Call Me by Your Name,8.9,571549,沉醉在电影的情感和视听氛围中无法自拔。,导演: 卢卡·瓜达尼诺 Luca Guadagnino主演: 艾米·汉莫 Armie Hammer   ... 2017 意大利 法国 巴西 美国 荷兰 德国 剧情 爱情 同性
红辣椒,パプリカ,9.0,357515,梦的勾结。,导演: 今敏 Satoshi Kon主演: 林原惠美 Megumi Hayashibara   江守彻 Toru... 2006 日本 动画 悬疑 科幻 惊悚
7号房的礼物,7번방의 선물,8.9,455301,《我是山姆》的《美丽人生》。,导演: 李焕庆 Hwan-kyeong Lee主演: 柳承龙 Seung-yong Ryoo   朴信惠 Shi... 2013 韩国 剧情 喜剧 家庭
断背山,Brokeback Mountain,8.8,608407,每个人心中都有一座断背山。,导演: 李安 Ang Lee主演: 希斯·莱杰 Heath Ledger   杰克·吉伦哈尔 Jake... 2005 美国 加拿大 剧情 爱情 同性 家庭
天使爱美丽,""" Le fabuleux destin dAmélie Poulain""",8.7,857865,法式小清新。,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet主演: 奥黛丽·塔图 Audrey Tau... 2001 法国 德国 剧情 喜剧 爱情
功夫,缺失,8.7,862675,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,导演: 周星驰 Stephen Chow主演: 周星驰 Stephen Chow   元秋 Qiu Yuen   ... 2004 中国大陆 中国香港 动作 喜剧 犯罪 奇幻
超脱,Detachment,8.9,421650,穷尽一生，我们要学会的，不过是彼此拥抱。,导演: 托尼·凯耶 Tony Kaye主演: 艾德里安·布洛迪 Adrien Brody   马西... 2011 美国 剧情
幽灵公主,もののけ姫,8.9,448510,人与自然的战争史诗。,导演: 宫崎骏 Hayao Miyazaki主演: 松田洋治 Yôji Matsuda   石田百合... 1997 日本 动画 奇幻 冒险
小森林 夏秋篇,リトル・フォレスト 夏・秋,9.0,355504,那些静得只能听见呼吸的日子里，你明白孤独即生活。,导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto   三浦贵大 Takahir... 2014 日本 剧情
第六感,The Sixth Sense,8.9,459697,深入内心的恐怖，出人意料的结局。,导演: M·奈特·沙马兰 M. Night Shyamalan主演: 布鲁斯·威利斯 Bruce Wi... 1999 美国 剧情 悬疑 惊悚
阳光灿烂的日子,缺失,8.8,519262,一场华丽的意淫。,导演: 姜文 Wen Jiang主演: 夏雨 Yu Xia   宁静 Jing Ning   陶虹 Hong Tao 1994 中国大陆 中国香港 剧情 爱情
重庆森林,重慶森林,8.8,663626,寂寞没有期限。,导演: 王家卫 Kar Wai Wong主演: 林青霞 Brigitte Lin   金城武 Takeshi K... 1994 中国香港 剧情 爱情
唐伯虎点秋香,唐伯虎點秋香,8.7,881825,华太师是黄霑，吴镇宇四大才子之一。,导演: 李力持 Lik-Chi Lee主演: 周星驰 Stephen Chow   巩俐 Li Gong   陈... 1993 中国香港 喜剧 爱情 古装
爱在黎明破晓前,Before Sunrise,8.8,525797,缘分是个连绵词，最美不过一瞬。,导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ... 1995 美国 奥地利 瑞士 剧情 爱情
人生果实,人生フルーツ,9.5,145086,土壤没有落叶不会肥沃，没有了你就不算人生。,导演: 伏原健之 Kenshi Fushihara主演: 津端修一 Shûichi Tsubata   津... 2017 日本 纪录片
一一,缺失,9.1,299672,我们都曾经是一一。,导演: 杨德昌 Edward Yang主演: 吴念真   李凯莉 Kelly Lee   金燕玲 Elai... 2000 中国台湾 日本 剧情 爱情 家庭
菊次郎的夏天,菊次郎の夏,8.8,483392,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,导演: 北野武 Takeshi Kitano主演: 北野武 Takeshi Kitano   关口雄介 Yus... 1999 日本 剧情 喜剧
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,8.8,599074,诺兰就是保证。,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ... 2012 美国 英国 剧情 动作 科幻 犯罪 惊悚
小森林 冬春篇,リトル・フォレスト 冬・春,9.0,318195,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto   三浦贵大 Takahir... 2015 日本 剧情
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,8.8,527520,不一样的导演，不一样的哈利·波特。,导演: Alfonso Cuarón主演: 丹尼尔·雷德克里夫 Daniel Radcliffe   Emma... 2004 英国 美国 奇幻 冒险
消失的爱人,Gone Girl,8.7,756679,年度最佳date movie。,导演: 大卫·芬奇 David Fincher主演: 本·阿弗莱克 Ben Affleck   罗莎蒙... 2014 美国 剧情 犯罪 悬疑 惊悚
无人知晓,誰も知らない,9.1,250258,我的平常生活就是他人的幸福。,导演: 是枝裕和 Hirokazu Koreeda主演: 柳乐优弥 Yûya Yagira   北浦爱... 2004 日本 剧情
入殓师,おくりびと,8.9,487330,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,导演: 泷田洋二郎 Yôjirô Takita主演: 本木雅弘 Masahiro Motoki   ... 2008 日本 剧情
超能陆战队,Big Hero 6,8.7,841625,Balalala~~~,导演: 唐·霍尔 Don Hall   克里斯·威廉姆斯 Chris Williams主演: 斯科特... 2014 美国 喜剧 动作 科幻 动画 冒险
倩女幽魂,缺失,8.7,616015,两张绝世的脸。,导演: 程小东 Siu-Tung Ching主演: 张国荣 Leslie Cheung   王祖贤 Joey W... 1987 中国香港 爱情 奇幻 武侠 古装
侧耳倾听,耳をすませば,8.9,386017,少女情怀总是诗。,导演: 近藤喜文 Yoshifumi Kondo主演: 本名阳子 Youko Honna   小林桂树 K... 1995 日本 剧情 爱情 动画
完美的世界,A Perfect World,9.1,240659,坏人的好总是比好人的好来得更感人。,导演: 克林特·伊斯特伍德 Clint Eastwood主演: 凯文·科斯特纳 Kevin Cos... 1993 美国 剧情 犯罪
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.9,456978,曾经的那段美好会沉淀为一辈子的记忆。,导演: 米林宏昌 Hiromasa Yonebayashi主演: 志田未来 Mirai Shida   神木... 2010 日本 动画 奇幻 冒险
甜蜜蜜,缺失,8.9,434535,相逢只要一瞬间，等待却像是一辈子。,导演: 陈可辛 Peter Chan主演: 黎明 Leon Lai   张曼玉 Maggie Cheung   ... 1996 中国香港 剧情 爱情
爱在日落黄昏时,Before Sunset,8.9,435650,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ... 2004 美国 法国 剧情 爱情
萤火之森,蛍火の杜へ,8.9,433029,触不到的恋人。,导演: 大森贵弘 Takahiro Omori主演: 佐仓绫音 Ayane Sakura   内山昂辉 K... 2011 日本 剧情 爱情 动画 奇幻
