id,league_id,season,stage,match_api_id,local,team_api_id,team_goal
0,1,2008/2009,24,493017,away,9987,1
1,1,2008/2009,24,493017,home,8203,2
2,1,2008/2009,25,493025,away,8342,3
3,1,2008/2009,25,493025,home,9984,1
4,1,2008/2009,25,493027,away,10000,0
5,1,2008/2009,25,493027,home,8635,2
6,1,2008/2009,26,493034,away,8635,1
7,1,2008/2009,26,493034,home,8203,2
8,1,2008/2009,26,493040,away,9999,0
9,1,2008/2009,26,493040,home,10000,0
10,1,2008/2009,27,493045,away,10000,0
11,1,2008/2009,27,493045,home,9991,1
12,1,2008/2009,27,493048,away,8203,0
13,1,2008/2009,27,493048,home,9999,1
14,1,2008/2009,29,493061,away,8342,0
15,1,2008/2009,29,493061,home,8635,1
16,1,2008/2009,29,493062,away,9987,0
17,1,2008/2009,29,493062,home,9999,1
18,1,2008/2009,31,493080,away,9987,2
19,1,2008/2009,31,493080,home,9984,1
20,1,2008/2009,31,493082,away,9991,3
21,1,2008/2009,31,493082,home,9999,1
22,1,2008/2009,32,493089,away,9985,0
23,1,2008/2009,32,493089,home,10000,0
24,1,2008/2009,32,493092,away,9984,1
25,1,2008/2009,32,493092,home,9991,2
26,1,2008/2009,32,493094,away,9999,0
27,1,2008/2009,32,493094,home,10001,1
28,1,2008/2009,33,493097,away,8342,0
29,1,2008/2009,33,493097,home,9985,2
30,1,2008/2009,33,493103,away,9999,1
31,1,2008/2009,33,493103,home,8635,3
32,1,2008/2009,33,493105,away,10001,1
33,1,2008/2009,33,493105,home,9984,2
34,1,2008/2009,34,493106,away,8635,2
35,1,2008/2009,34,493106,home,9987,0
36,1,2008/2009,34,493107,away,9985,1
37,1,2008/2009,34,493107,home,9991,0
38,1,2009/2010,1,665321,away,9991,3
39,1,2009/2010,1,665321,home,9984,1
40,1,2009/2010,1,665322,away,10000,1
41,1,2009/2010,1,665322,home,9994,1
42,1,2009/2010,1,665323,away,8635,2
43,1,2009/2010,1,665323,home,8571,0
44,1,2009/2010,2,665326,away,9994,0
45,1,2009/2010,2,665326,home,8342,2
46,1,2009/2010,2,665327,away,9984,2
47,1,2009/2010,2,665327,home,8635,3
48,1,2009/2010,2,665329,away,9987,2
49,1,2009/2010,2,665329,home,10000,2
50,1,2009/2010,2,665330,away,8203,1
51,1,2009/2010,2,665330,home,9991,2
52,1,2009/2010,2,665332,away,8571,1
53,1,2009/2010,2,665332,home,10001,1
54,1,2009/2010,2,665333,away,9985,1
55,1,2009/2010,2,665333,home,9993,1
56,1,2009/2010,3,665334,away,10001,0
57,1,2009/2010,3,665334,home,8635,3
58,1,2009/2010,3,665335,away,9991,1
59,1,2009/2010,3,665335,home,9987,1
60,1,2009/2010,3,665337,away,10000,2
61,1,2009/2010,3,665337,home,9984,2
62,1,2009/2010,3,665340,away,8342,1
63,1,2009/2010,3,665340,home,8203,2
64,1,2009/2010,4,665342,away,8571,2
65,1,2009/2010,4,665342,home,8342,2
66,1,2009/2010,4,665345,away,8635,2
67,1,2009/2010,4,665345,home,10000,0
68,1,2009/2010,4,665346,away,9994,1
69,1,2009/2010,4,665346,home,9991,4
70,1,2009/2010,4,665349,away,8203,3
71,1,2009/2010,4,665349,home,9993,1
72,1,2009/2010,5,665352,away,9985,1
73,1,2009/2010,5,665352,home,8635,1
74,1,2009/2010,5,665353,away,9993,1
75,1,2009/2010,5,665353,home,9987,1
76,1,2009/2010,5,665354,away,8342,3
77,1,2009/2010,5,665354,home,9984,2
78,1,2009/2010,5,665357,away,9991,0
79,1,2009/2010,5,665357,home,8571,1
80,1,2009/2010,5,665360,away,10000,2
81,1,2009/2010,5,665360,home,10001,1
82,1,2009/2010,6,665361,away,9987,1
83,1,2009/2010,6,665361,home,8342,1
84,1,2009/2010,6,665362,away,8203,0
85,1,2009/2010,6,665362,home,9985,3
86,1,2009/2010,6,665364,away,8571,2
87,1,2009/2010,6,665364,home,10000,0
88,1,2009/2010,6,665366,away,9999,1
89,1,2009/2010,6,665366,home,9991,5
90,1,2009/2010,6,665368,away,9994,1
91,1,2009/2010,6,665368,home,9993,2
92,1,2009/2010,7,665370,away,9991,1
93,1,2009/2010,7,665370,home,8635,1
94,1,2009/2010,7,665374,away,9993,2
95,1,2009/2010,7,665374,home,9984,1
96,1,2009/2010,7,665376,away,9985,3
97,1,2009/2010,7,665376,home,9994,1
98,1,2009/2010,7,665380,away,8342,4
99,1,2009/2010,7,665380,home,10001,1
100,1,2009/2010,8,665384,away,10000,1
101,1,2009/2010,8,665384,home,8342,3
102,1,2009/2010,8,665385,away,9984,1
103,1,2009/2010,8,665385,home,9985,1
104,1,2009/2010,8,665393,away,8571,0
105,1,2009/2010,8,665393,home,9993,1
106,1,2009/2010,9,665396,away,9993,0
107,1,2009/2010,9,665396,home,8635,1
108,1,2009/2010,9,665402,away,8203,0
109,1,2009/2010,9,665402,home,9984,1
110,1,2009/2010,9,665405,away,9985,2
111,1,2009/2010,9,665405,home,8571,0
112,1,2009/2010,10,665411,away,8635,2
113,1,2009/2010,10,665411,home,8342,4
114,1,2009/2010,10,665417,away,9994,0
115,1,2009/2010,10,665417,home,8203,2
116,1,2009/2010,10,665421,away,10001,1
117,1,2009/2010,10,665421,home,9993,3
118,1,2009/2010,11,665425,away,9991,0
119,1,2009/2010,11,665425,home,8342,1
120,1,2009/2010,11,665427,away,8203,2
121,1,2009/2010,11,665427,home,9987,1
122,1,2009/2010,11,665429,away,9993,0
123,1,2009/2010,11,665429,home,10000,4
124,1,2009/2010,11,665430,away,9984,1
125,1,2009/2010,11,665430,home,9994,1
126,1,2009/2010,11,665435,away,9985,0
127,1,2009/2010,11,665435,home,10001,2
128,1,2009/2010,12,665438,away,10000,1
129,1,2009/2010,12,665438,home,9985,1
130,1,2009/2010,12,665443,away,8571,1
131,1,2009/2010,12,665443,home,9984,1
132,1,2009/2010,12,665445,away,8635,2
133,1,2009/2010,12,665445,home,8203,0
134,1,2009/2010,13,665536,away,9994,0
135,1,2009/2010,13,665536,home,8635,2
136,1,2009/2010,13,665541,away,9993,1
137,1,2009/2010,13,665541,home,9991,0
138,1,2009/2010,13,665543,away,8203,0
139,1,2009/2010,13,665543,home,8571,2
140,1,2009/2010,14,665548,away,8342,1
141,1,2009/2010,14,665548,home,9985,3
142,1,2009/2010,14,665554,away,10001,1
143,1,2009/2010,14,665554,home,9984,2
144,1,2009/2010,14,665556,away,8571,0
145,1,2009/2010,14,665556,home,9994,0
146,1,2009/2010,15,665570,away,9999,1
147,1,2009/2010,15,665570,home,8635,3
148,1,2009/2010,15,665574,away,8203,1
149,1,2009/2010,15,665574,home,10000,4
150,1,2009/2010,15,665575,away,9985,1
151,1,2009/2010,15,665575,home,9991,2
152,1,2009/2010,16,665586,away,8571,0
153,1,2009/2010,16,665586,home,8635,1
154,1,2009/2010,16,665591,away,9984,1
155,1,2009/2010,16,665591,home,9991,3
156,1,2009/2010,16,665596,away,9999,0
157,1,2009/2010,16,665596,home,9993,3
158,1,2009/2010,17,665598,away,9993,2
159,1,2009/2010,17,665598,home,9985,2
160,1,2009/2010,17,665603,away,8635,3
161,1,2009/2010,17,665603,home,9984,1
162,1,2009/2010,17,665604,away,8342,1
163,1,2009/2010,17,665604,home,9994,0
164,1,2009/2010,18,665619,away,9984,0
165,1,2009/2010,18,665619,home,10000,1
166,1,2009/2010,19,665626,away,8342,2
167,1,2009/2010,19,665626,home,8635,3
168,1,2009/2010,19,665632,away,9991,1
169,1,2009/2010,19,665632,home,9994,0
170,1,2009/2010,19,665633,away,10001,1
171,1,2009/2010,19,665633,home,8571,1
172,1,2009/2010,19,665634,away,9993,0
173,1,2009/2010,19,665634,home,8203,1
174,1,2009/2010,20,665639,away,9984,1
175,1,2009/2010,20,665639,home,8342,2
176,1,2009/2010,20,665641,away,9994,0
177,1,2009/2010,20,665641,home,9985,2
178,1,2009/2010,20,665647,away,8635,2
179,1,2009/2010,20,665647,home,9991,2
180,1,2009/2010,21,665653,away,10000,1
181,1,2009/2010,21,665653,home,8635,2
182,1,2009/2010,21,665655,away,9985,0
183,1,2009/2010,21,665655,home,9984,2
184,1,2009/2010,21,665657,away,9993,0
185,1,2009/2010,21,665657,home,9994,2
186,1,2009/2010,21,665659,away,8342,4
187,1,2009/2010,21,665659,home,8571,1
188,1,2009/2010,22,665666,away,8635,4
189,1,2009/2010,22,665666,home,9985,0
190,1,2009/2010,22,665672,away,9984,4
191,1,2009/2010,22,665672,home,9993,1
192,1,2009/2010,23,665674,away,8342,0
193,1,2009/2010,23,665674,home,9987,2
194,1,2009/2010,23,665675,away,9997,0
195,1,2009/2010,23,665675,home,10000,2
196,1,2009/2010,23,665679,away,9999,4
197,1,2009/2010,23,665679,home,9994,1
198,1,2009/2010,23,665680,away,9993,0
199,1,2009/2010,23,665680,home,8571,3
200,1,2009/2010,23,665681,away,9985,0
201,1,2009/2010,23,665681,home,8203,0
202,1,2009/2010,24,665686,away,8571,1
203,1,2009/2010,24,665686,home,9985,3
204,1,2009/2010,24,665687,away,10001,1
205,1,2009/2010,24,665687,home,9997,0
206,1,2009/2010,24,665689,away,10000,2
207,1,2009/2010,24,665689,home,9991,0
208,1,2009/2010,24,665695,away,8635,5
209,1,2009/2010,24,665695,home,9993,0
210,1,2009/2010,25,665698,away,9997,2
211,1,2009/2010,25,665698,home,8635,1
212,1,2009/2010,25,665699,away,9985,0
213,1,2009/2010,25,665699,home,9987,1
214,1,2009/2010,25,665700,away,8342,1
215,1,2009/2010,25,665700,home,10000,1
216,1,2009/2010,25,665702,away,9999,0
217,1,2009/2010,25,665702,home,9984,2
218,1,2009/2010,25,665704,away,8203,1
219,1,2009/2010,25,665704,home,9994,2
