league_id,season,stage,match_api_id,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1,2008/2009,24,493017,2009/2/27 0:00,8203,9987,2,1
1,2008/2009,25,493025,2009/3/8 0:00,9984,8342,1,3
1,2008/2009,25,493027,2009/3/7 0:00,8635,10000,2,0
1,2008/2009,26,493034,2009/3/13 0:00,8203,8635,2,1
1,2008/2009,26,493040,2009/3/14 0:00,10000,9999,0,0
1,2008/2009,27,493045,2009/3/22 0:00,9991,10000,1,0
1,2008/2009,27,493048,2009/3/21 0:00,9999,8203,1,0
1,2008/2009,29,493061,2009/4/12 0:00,8635,8342,1,0
1,2008/2009,29,493062,2009/4/10 0:00,9999,9987,1,0
1,2008/2009,31,493080,2009/4/26 0:00,9984,9987,1,2
1,2008/2009,31,493082,2009/4/26 0:00,9999,9991,1,3
1,2008/2009,32,493089,2009/5/2 0:00,10000,9985,0,0
1,2008/2009,32,493092,2009/5/2 0:00,9991,9984,2,1
1,2008/2009,32,493094,2009/5/2 0:00,10001,9999,1,0
1,2008/2009,33,493097,2009/5/9 0:00,9985,8342,2,0
1,2008/2009,33,493103,2009/5/9 0:00,8635,9999,3,1
1,2008/2009,33,493105,2009/5/9 0:00,9984,10001,2,1
1,2008/2009,34,493106,2009/5/16 0:00,9987,8635,0,2
1,2008/2009,34,493107,2009/5/16 0:00,9991,9985,0,1
1,2009/2010,1,665321,2009/8/2 0:00,9984,9991,1,3
1,2009/2010,1,665322,2009/8/1 0:00,9994,10000,1,1
1,2009/2010,1,665323,2009/8/1 0:00,8571,8635,0,2
1,2009/2010,10,665411,2009/10/4 0:00,8342,8635,4,2
1,2009/2010,10,665417,2009/10/3 0:00,8203,9994,2,0
1,2009/2010,10,665421,2009/10/3 0:00,9993,10001,3,1
1,2009/2010,11,665425,2009/10/18 0:00,8342,9991,1,0
1,2009/2010,11,665427,2009/10/18 0:00,9987,8203,1,2
1,2009/2010,11,665429,2009/10/17 0:00,10000,9993,4,0
1,2009/2010,11,665430,2009/10/17 0:00,9994,9984,1,1
1,2009/2010,11,665435,2009/10/17 0:00,10001,9985,2,0
1,2009/2010,12,665438,2009/10/24 0:00,9985,10000,1,1
1,2009/2010,12,665443,2009/10/24 0:00,9984,8571,1,1
1,2009/2010,12,665445,2009/10/25 0:00,8203,8635,0,2
