f1,stats_shoton,coordinates_0,coordinates_1,event_incident_typefk,elapsed,subtype,player1,sortorder,team,id,n,original_index
2509,1,23,60,153,48,shot,150250,2,8455,5136103,231,218
2510,1,32,66,147,48,shot,72541,3,8455,5136106,234,218
2511,0,20,14,61,50,blocked_shot,413557,0,10260,5136128,246,218
2512,1,22,3,553,56,big chance shot,164676,2,10260,5136195,268,218
2513,0,30,17,61,75,blocked_shot,30872,0,10260,5136336,352,218
2514,0,30,55,61,22,blocked_shot,303824,1,10260,4670725,84,219
2515,1,27,6,136,55,header,23264,1,10252,4671153,192,219
2516,0,31,10,61,57,blocked_shot,179410,2,10252,4671162,201,219
2517,0,38,58,61,67,blocked_shot,303824,4,10260,4671250,244,219
2518,1,24,54,137,78,distance,303824,2,10260,4671376,308,219
2519,1,11,15,137,3,distance,303824,2,10260,4694814,20,220
2520,1,24,17,137,6,distance,30829,2,10260,4694824,34,220
2521,0,28,15,139,12,direct_freekick,41468,0,10260,4694837,49,220
2522,0,14,15,61,15,blocked_shot,449241,0,10260,4694850,64,220
2523,1,31,8,147,15,shot,41468,4,10260,4694855,72,220
2524,1,15,10,135,16,shot,30829,4,10260,4694860,83,220
2525,0,23,63,876,19,blocked_header,24228,3,10261,4694877,107,220
2526,1,11,4,135,22,shot,303824,1,10260,4694884,125,220
2527,0,28,10,61,26,blocked_shot,449241,0,10260,4694899,153,220
2528,0,16,18,61,32,blocked_shot,161012,0,10260,4694919,184,220
2529,1,18,54,149,42,distance,479020,0,10261,4694942,238,220
2530,0,26,62,876,43,blocked_header,351860,2,10261,4694948,228,220
2531,0,18,16,494,58,blocked_shot,303824,0,10260,4694994,282,220
2532,0,23,9,570,72,big chance blocked,30829,1,10260,4695040,344,220
2533,1,16,8,312,76,deflected,41468,0,10260,4695053,363,220
2534,1,24,11,135,76,shot,362694,2,10260,4695056,367,220
2535,0,29,11,61,80,blocked_shot,41468,0,10260,4695063,377,220
2536,1,21,6,553,80,big chance shot,70409,2,10260,4695065,381,220
2537,0,32,6,570,86,big chance blocked,35327,0,10260,4695083,407,220
2538,0,17,56,61,1,blocked_shot,46893,1,10260,4727119,10,221
2539,0,29,55,157,2,direct_freekick,303824,0,10260,4727134,18,221
2540,1,27,19,137,26,distance,127130,5,10003,4727470,104,221
2541,1,33,62,135,34,shot,30829,1,10260,4727574,148,221
2542,0,27,13,61,38,blocked_shot,38831,0,10003,4727613,166,221
2543,0,6,19,139,48,direct_freekick,127130,0,10003,4727887,213,221
2544,1,31,65,551,60,big chance shot,41468,2,10260,4728093,282,221
2545,1,26,63,136,75,header,303824,1,10260,4728341,367,221
2546,0,17,14,61,46,blocked_shot,23354,4,10260,4761516,216,222
2547,1,21,12,312,50,deflected,23354,2,10260,4761585,243,222
2548,1,28,63,552,57,big chance shot,214426,4,8650,4761718,272,222
2549,1,21,66,142,65,header,568571,0,8650,4761867,308,222
2550,0,34,13,61,79,blocked_shot,39618,1,10260,4762212,382,222
2551,1,13,61,147,84,shot,280653,2,8650,4762307,394,222
2552,1,26,5,553,13,big chance shot,303339,1,8466,4804184,87,223
2553,1,21,14,137,21,distance,279490,0,8466,4804340,123,223
2554,0,22,8,61,27,blocked_shot,41280,1,8466,4804489,166,223
2555,1,4,44,558,59,big chance header,26552,1,8466,4805574,379,223
2556,0,16,56,494,74,blocked_shot,41468,0,10260,4805931,420,223
2557,1,20,14,149,90,distance,166676,12,8466,4806386,522,223
2558,1,26,9,154,90,header,26552,14,8466,4806395,527,223
2559,1,27,8,136,90,header,166676,17,8466,4806407,532,223
2560,1,14,6,135,10,shot,303824,1,10260,4832073,62,224
2561,1,28,64,136,11,header,24150,3,8472,4832111,90,224
2562,0,29,12,494,17,blocked_shot,41468,0,10260,4832269,119,224
2563,1,11,65,553,24,big chance shot,42598,1,8472,4832401,143,224
2564,1,20,14,149,26,distance,303824,0,10260,4832433,149,224
2565,0,18,14,139,39,direct_freekick,303824,0,10260,4832738,227,224
2566,0,28,14,61,45,blocked_shot,30829,0,10260,4832917,250,224
2567,0,20,52,61,45,blocked_shot,24159,4,8472,4832981,259,224
2568,0,29,68,876,54,blocked_header,39139,1,8472,4833562,386,224
2569,1,27,68,153,54,shot,39139,2,8472,4833565,396,224
2570,1,31,66,553,62,big chance shot,180330,1,8472,4833774,401,224
2571,1,28,9,551,67,big chance shot,303824,2,10260,4833866,437,224
2572,1,20,12,149,78,distance,41468,0,10260,4834072,494,224
2573,0,20,7,61,88,blocked_shot,30829,1,10260,4834273,553,224
2574,0,30,56,61,90,blocked_shot,42598,5,8472,4834363,584,224
2575,0,31,4,61,3,blocked_shot,31013,2,9825,4877199,24,225
2576,1,22,62,553,45,big chance shot,413557,1,10260,4878129,261,225
2577,1,26,56,137,50,distance,23354,0,10260,4878499,291,225
2578,0,28,15,494,53,blocked_shot,36378,0,9825,4878587,315,225
2579,1,27,56,149,62,distance,30829,2,10260,4878854,424,225
2580,1,29,63,153,69,shot,30872,0,10260,4879014,443,225
2581,1,23,10,135,73,shot,36378,3,9825,4879137,479,225
2582,0,15,54,61,77,blocked_shot,41468,0,10260,4879226,488,225
2583,1,22,9,551,86,big chance shot,46469,1,9825,4879446,522,225
2584,0,16,12,61,3,blocked_shot,32705,0,8668,4908595,24,226
2585,0,27,16,494,13,blocked_shot,181276,0,8668,4908919,84,226
2586,1,23,54,149,18,distance,164676,0,10260,4909057,108,226
2587,0,22,58,61,18,blocked_shot,161035,5,10260,4909095,154,226
2588,0,8,59,61,25,blocked_shot,30829,0,10260,4909205,182,226
2589,0,22,61,570,42,big chance blocked,413557,1,10260,4909627,299,226
2590,0,12,8,61,44,blocked_shot,316688,0,8668,4909685,339,226
2591,1,11,5,153,45,shot,215384,2,8668,4909700,330,226
2592,0,33,9,61,51,blocked_shot,30922,1,8668,4910187,412,226
